source_text,translated_text
Entrega rápida!,交貨快！
SUPER RECOMENDO,強烈推薦
Bom,好的
Entrega muito rápida,交貨非常快
ENTREGA DENTRO DO PRAZO,準時交貨
Recomendo,我推薦
recomendo,推薦
super recomendado,超推薦
Jogo de palavras cruzadas,填字遊戲
Falta de produto,缺乏產品
"muito bom , dez .",非常好，十個。
prazo,學期
Decepcionou um pouco,有點失望
O produto com defeito,不良品
Produto divergente,發散產品
produto não entregue,產品未交付
Ótimo,出色的
Recomendo.,我推薦。
Prazo não cumprido,未達截止日期
Muito satisfeita!,非常滿意！
Otimo,出色的
Excelente,出色的
Produto não entregue,產品未交付
Otimo!,出色的！
Ruim,壞的
10,10
Tudo perfeito,一切都很完美
Produto quebrado,破損產品
Eu recomendo,我推薦
Excelente!!,出色的！ ！
entrega rapida,快速交貨
ótima,出色的
Sim recomendo a todos,是的，我推薦給大家
Mercadoria errada,商品錯誤
super recomendo,我強烈推薦
não recomendo,我不推薦
Produto ainda não chegou,產品尚未到達
8,8
LINDO GORRO,美麗的無簷小便帽
produto no prazo,產品準時
"o produto parece ser bom,",產品看起來不錯，
Produto original,原創產品
Muito bom,非常好
Meu produtor n foi entreg,我的製作人未交付
Satisfeito,使滿意
excelente produto,優秀的產品
ruim,壞的
Atraso na entrega,交貨延遲
Excelente...,出色的...
Ótimo!,出色的！
Produto excelente!!!,優秀的產品！ ！ ！
muito bom,非常好
Simples,簡單的
Muito boa,非常好
Compra de produto,產品購買
Não é o esperado!!,不是預期的那樣！
Super recomendo,我強烈推薦
MUITO BOM,非常好
bom,好的
ENTREGA,送貨
Chegou antes do tempo,提前到達
excelente fornecedor,優秀供應商
ÓTIMO PRODUTO,很棒的產品
Satisfatório,滿意
Super recomendo.,我強烈推薦它。
Produto errado,錯誤的產品
Bom loja,好店
"Assim como uso, recomendo",當我使用它時，我推薦它
Pensei ser maior,我以為我更大了
Não chegou,沒有到達
Péssimo,糟糕的
Compra de relógio masculi,購買男士手錶
Parabens pela seriedade,恭喜你的認真
Ótima,出色的
Pontual,一次性的
Recebi antes do prazo,我在截止日期之前收到了
produto errado,錯誤的產品
Excelente aquisição,優秀的收購
Nem NF foi emitida!!,連NF都沒有發出來！ ！
Recomendo!,我推薦！
RECOMENDO,我推薦
Nota 10,註10
Qualidade.,品質.
Luvas,手套
************,**********
Produto em fase de teste,產品處於測試階段
Produto lindo!,漂亮的產品！
Regular,常規的
Muito boa qualidade,品質非常好
produto horrivel,可怕的產品
Tudo certo!,一切都很好！
Ok,好的
TOP,頂部
Excelente Loja,優秀店
Muito bom!!,非常好！ ！
Otima,出色的
Boa aquisição,良好的收購
PESSIMA,糟糕的
providências lannister!,蘭尼斯特措施！
Produto não chegou,產品未到達
Produto com defeito,不良品
CAPA DE COLCHÃO,床墊套
Perfeito!,完美的！
Shouwwww gosteiii muito,Showwwww我真的很喜歡它
a pensar recomendação,考慮推薦
Falta de comprometimento,缺乏承諾
Entrega rápida,交貨快捷
Entregue,發表
5,5
QUANTIDADE ERRADA,數量錯誤
satisfeito,使滿意
Muito lindo,很帥
Entrega muito rapida,交貨非常快
MARAVILHOSO!!!,精彩的！ ！ ！
Cor errada,顏色錯誤
otimo,出色的
Ótimo!!!,出色的！ ！ ！
Otima produto,很棒的產品
Satisfeita,使滿意
Otimo Produto,很棒的產品
Ótimo produto,很棒的產品
MT bom,MT 好
ótimo produto!,很棒的產品！
Sem produto em estoque,沒有庫存產品
Bom de verdade,真的很好
Super recomendo otima,我強烈推薦它
Chatice!,真糟糕！
Ótimo vendedor,很棒的賣家
muito bom material super,非常好的超級材料
Pessima,糟糕的
otimoo,偉大的
Foi tudo muito bom,一切都很好
Bom!,好的！
Muito boa!,非常好！
Atendeu minha expectatica,滿足我的期望
Muito Boa,非常好
ótimo lugar pra comprar,購買的好地方
Ofertado/Pago lannister,提供/付費蘭尼斯特
Aguardando desfecho.,等待結果。
Nao recebi,我沒有收到
Ótima loja!,很棒的商店！
"Super recomendo, show",我強烈推薦它，展示
Não recebi todos os produ,我沒有收到所有產品
Ótimos,偉大的
Controle remoto,遙控
Reclamação,抱怨
Gostei,我喜歡
Muito prática e moderna!,非常實用又現代！
produto bom,好產品
Reclamcao,抱怨
4,4
A luva não presta,手套沒啥用
Produto certo e rápido,正確且快速的產品
Maravilhoso ??,精彩的 ？ ？
Muito Bom,非常好
Top,頂部
Tudo certo,一切都很好
Bom.,好的。
Excelente produto,優秀的產品
Produto faltando,缺少產品
Quantidade errada,數量錯誤
Entrega rapida,交貨快捷
Péssima.,壞的。
Muito boom,非常繁榮
Positivo,積極的
Gratidão,感激
recomendado,受到推崇的
Super recomento,超推薦
Recomendo com ressalvas.,我推薦它並保留。
foi show sem problemas,這是一場沒有任何問題的演出
Tudo ok,一切都好
okok,奧科克
ótimo,出色的
Muito recomendado,非常推薦
Cancelamento não efetuado,未取消
Bom produto!!!,好產品！ ！ ！
"Bom, porem não otimo",不錯，但不是很好
Falta entregar,需要送貨
Pode melhorar,可以改進
recomentdo,我推薦
não recebi ainda,我還沒收到
Insatisfeita,不滿
lindooooo,美麗的
Recomendado,受到推崇的
Gosto muito dos produtos,我真的很喜歡這些產品
Produto excelente!!,優秀的產品！
Tesouras boas,好剪刀
tudo certo,一切都很好
Ótima opção,不錯的選擇
NÃO RECOMENDO,不推薦
MANDARAM O PRODUTO ERRADO,他們寄錯了產品
Ótima...,出色的...
Super rápido,超快
Boa,好的
ok,好的
"9,5",9.5
Maravilhosooo,精彩的
Elogio,稱讚
Adorei a loja.,我喜歡這家商店。
Uma negação,否認
Amei o produto,我喜歡這個產品
Perfeito!!,完美的！ ！
Foto não condiz,照片不符
Péssima loja,壞店
Bandeja,托盤
Quero devolver meu produt,我想退回我的產品
Zero,零
exelent,出色的
Perfume com defeito,有缺陷的香水
O produto foi en avariado,產品已損壞
Entrega,送貨
rack bike,自行車架
Entrega super rapida!,交貨超快！
XXXX,XXXX
Super satisfeito,超級滿意
Muito rápido,非常快
Pedido errado.,順序錯誤。
Não foi entregue,沒有交付
Demora na entrega,延遲交貨
mto bom,非常好
Entrega antes do prazo,截止日期前交貨
tudo certo com a compra,購買一切正常
Cumpre o objetivo,達到目標
Tudo correto,一切都正確
N recebi o produto,我沒有收到產品
Não recebi,我沒有收到
Esclarecimento,澄清
Preços bons,價格優惠
Vale a pena,這是值得的
Ponto positivo e negativo,正負點
Não recomendo,我不推薦
Demora,延遲
NOTA 10,註10
Ótima qualidade,品質優良
Produto não corresponde,產品不匹配
F,F
muito bem.,非常好。
PESSIMO,糟糕的
recomendo 100 por cento,我百分百推薦它
Jogo de panela,泛遊戲
Produto Perfeito,完美的產品
Bom produto,好產品
Faltando peças,缺少零件
"Fácil montagem, tem faro.",組裝方便，有鼻子。
péssimo,糟糕的
Caneta tinteiro crown,皇冠鋼筆
**** loja,**** 店鋪
entrega pontual,準時交貨
Super recomendado,超推薦
SIMPLES E RÁPIDO!,簡單又快速！
Produto entregue,產品交付
Não passou confiança,沒有給信心
Super rercomendo,我強烈推薦
Nãoque eu não recomende s,並不是說我不推薦它
Decepção,欺騙
NAO RECOMENDO,我不推薦
Prazo de entrega,交貨時間
Boas,好的
Genial !!!!,天才！ ！ ！ ！
Ainda não chegou',還沒到'
Avaliçao,評估
AMEIII,AMEIII
Entrega parceladas,分期交付
FALSIFICADO (targaryen),假貨（坦格利安）
PRODUTO NÃO ENTREGUE,產品未交付
Arrependimento,悔改
Produto veio com defeito,產品到達時有缺陷
entregou antes do prazo,在截止日期前交付
Excelência,卓越
OK,好的
Loja confiável,值得信賴的商店
Para o bebê,為了寶寶
Produto de boa qualidade,優質的產品
Adorei o porta algodão,我喜歡棉花架
Bom produto para enfeite.,裝飾用的好產品。
recomendo a loja,我推薦這家商店
gostei,我喜歡
Mto prático,很實用
- Luminária de Mesa pelic,- 鵜鶘檯燈
Propaganda enganosa,虛假廣告
Não tem manual de uso,沒有使用手冊
TUDO OK,一切都好
Suporte Projetor.,投影機支援。
Show,展示
MUITO SATISFATÓRIA,非常滿意
1000000,1000000
Muito bom o produto,非常好的產品
Maravilhoso,精彩的
LANERNA DIFERENTE,不同的車道
Entrega não concluída,交貨未完成
BOM,好的
Super Recomendo!!,我強烈推薦它！
O controle n funciona,控制不起作用
Lindo,美麗的
"Top,",頂部，
Recomrndo,我推薦
Loja excelente,優秀的商店
Super RECOMENDO,超推薦
Muito bom.,非常好。
Transportadora Merda,運營商狗屎
Produto bom,好產品
Rede azul,藍色網路
Recebi mas ainda não abri,我收到了，但還沒打開
avaliação do vendedor,賣家評級
Carregador LG com defeito,LG 充電器有缺陷
Falta um quadro,缺少一個框架
Péssimo! Produto errado,糟糕的！錯誤的產品
Nota 1000,註1000
Produto otimo,很棒的產品
demora e não entrega,延遲和不交貨
Bonito mas pequeno,可愛但很小
recomendo com otimismo,我樂觀地推薦它
Ótimo produto péssima ent,很棒的產品，很糟糕
otimo!,出色的！
Lindo😍😍😍😍,好美😍😍😍😍
hiper recomendo,強烈推薦
Chegou antes,提前到達
"Otimo,eu recomendo",太棒了，我推薦
tudo ok,一切都好
Produto com sabor trocado,風味改變的產品
Ótimo preço e qualidade,優惠的價格和品質
Não fiquei satisfeito,我不滿意
"Produto OTIMO, Recomendo",很棒的產品，我推薦它
Recebi a metade,我收到了一半
5 estrelas,5 顆星
Adorei o Relógio!,我喜歡時鐘！
Não foi entregue no prazo,沒有準時交付
100%,100%
Letra E de led,LED字母E
Chuveiro,淋浴
Chegou rapido,很快就到了
Rápida entrega.,交貨快。
nao recomendo,我不推薦
Sem comentários,暫無評論
prazo entrega,交貨時間
perfeito,完美的
eu recomendo esta loja .,我推薦這家店。
9,9
parabens,恭喜
frete,貨運
Comprei 2 produtos,我買了 2 個產品
Gostei muito do produto,我真的很喜歡這個產品
Solicitei o cancelamento,我要求取消
excelente,出色的
Parabéns a equipe!,恭喜團隊！
Produto sem.identificação,產品無標識
Mercadoria não entregue,貨物未交付
Super Recomendo,我強烈推薦
Top!,頂部！
Descrição deixou a deseja,描述還有待改進之處
Relógio errado,時鐘錯誤
Otimo Produto!!,很棒的產品！
O produto não corresponde,產品不對應
Cancelamento,消除
Não Recebi o produto.,我沒有收到產品。
"É O MÁXIMO, SUPER RECOMEN",這是最大的，超級推薦
Entrega Garantida,保證交付
Estou configurando nest,我正在配置巢
GUSTAVO SANTOS,古斯塔沃·桑托斯
mercadoria não entregue a,商品未交付至
Atrasou na entrega,延遲交貨
Produto Frágil,易碎品
Super Recomendo.,我強烈推薦它。
6,6
Esperava mais,我期待更多
Satisfeito com o produto!,對產品很滿意！
Maravilhosa,精彩的
Produto errado.,錯誤的產品。
"bom ,recomendo",好，我推薦
"Infelizmente,trava muito!",不幸的是，它崩潰了很多！
Muito rapido,非常快
353454t,353454t
"Excelente, recomendo",非常棒，我推薦
Parabéns,恭喜你
Produto não foi entregue,產品未交付
Satisfeito com atendiment,服務滿意
Tudo certo!!!!,一切都很好！ ！ ！ ！
Entrega de peças de infor,訊息片的傳遞
Praticidade,實用性
Não chegou ate minha casa,沒到我家
Avarias esteticas,外觀缺陷
nao recebi o produto,我沒有收到產品
Qualidade do produto,產品品質
Entrega super rapida,超快速交貨
Adorei,我愛過
Produto maravilhoso,很棒的產品
não satisfatória,不滿意
Gostei muito,我真的很喜歡
Não recebi o produto,我沒有收到產品
muito BOM,非常好
Produto entregue no prazo,產品準時交付
Péssimo sist. Entrega!,系統不好。送貨！
nao recebi produto,我沒有收到產品
muito boa,非常好
Recomendo muito bom .,我非常推薦它。
muito bom produto,非常好的產品
Alteração de sabor,口味變化
Pessimo atendimento,服務不好
Produto recomendável,推薦產品
aguardo retorno,我等待你的歸來
Entrega errada,出貨錯誤
Demora em fazer uma troca,延遲兌換
Cumpre o que promete,履行承諾
Inversor de energia,電源逆變器
cancelado,取消
Ótima.,出色的。
pessimo,糟糕的
Cartuchos falsos,假墨水匣
Cesto,籃子
otima,出色的
Recomendo a todos!!,我推薦給大家！ ！
Super recomendo!,我強烈推薦它！
Aprovado!,得到正式認可的！
Boa Compra. Recomendado,好買。受到推崇的
Ainda não montei,我還沒組裝好
Tudo otimo,一切都很棒
Muito ágil,非常敏捷
Pedido recebido corretame,訂單收到正確
Super Recomendado,超推薦
Correto,正確的
Excelente!,出色的！
produto ruim,不良產品
Produto regular a bom,常規產品到好產品
Não recomendado,不推薦
Excelente compra.,很棒的購買。
Confiável,可靠的
Ótimo Produto!,很棒的產品！
Sem problemas,沒問題
Recusa,拒絕
Tudo Certo!Satisfeita,一切都好！使滿意
Produto nao funciona,產品不起作用
Houve problemas,有問題
Recomendo mas não é 100%,我推薦它，但不是100%
Recomento,我推薦
Compla,孔普拉
Quase nota 10,幾乎是10
Nao entendi,我不明白
elogio,稱讚
Compromisso,承諾
Insatisfação,不滿意
Defeito,缺點
A NIGRO PRECISA SABER,尼格羅需要知道
Muito satisfeito,非常滿意
lixo,垃圾
Muito bom!!!!,非常好！ ！ ！ ！
nao e pontual,不準時
Recomendo muito bom,我非常推薦它
Perfeito,完美的
Capa de Celular J7 Prime,J7 Prime 手機殼
Tudo Certo!,一切都很好！
ótimo produto,很棒的產品
boa,好的
eu recomendo,我推薦
Recebi o produto avariado,我收到了損壞的產品
Entrega dentro do prazo .,在期限內交貨。
ALMOFADAS,坐墊
Case para tablet 7,平板電腦保護殼 7
Um bom produto...,一個好的產品...
Ruin,廢墟
Ainda não vi o produto,我還沒看到該產品
Produto bom.,好產品。
produto estranho,奇怪的產品
Super satisfeita.,超級滿意。
Xxc,xxc
Recomendo a loja,我推薦這家商店
Recebi pedido incompleto,我收到了不完整的訂單
Produto nao foi entrege,產品未交付
Vendedor Recomendavel,推薦賣家
Muito boa perfeita,非常好完美
Muito satisfeito !!!!,非常滿意！ ！ ！ ！
Queria saber o que fazer,我想知道該怎麼辦
Tamanho,尺寸
Produto ótimo,很棒的產品
Satisfação,滿意
nota 10,註10
